Against France,Against France,Against France,Against France,Against France,Against France,Against France,Against France,Against France,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
2022-11-22,22:00 (14:00),Group stage,Tue,Neutral,L,1,4,au Australia,13,7,8,5,0,8,16,50.0,8,10,7,3,9,22,23,1,Match Report
2022-11-26,19:00 (11:00),Group stage,Sat,Neutral,L,1,2,dk Denmark,19,12,7,10,2,8,18,44.4,10,17,8,9,5,24,18,0,Match Report
2022-11-30,18:00 (10:00),Group stage,Wed,Neutral,W,1,0,tn Tunisia,22,16,13,9,0,7,15,46.7,8,18,4,14,9,31,23,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,18:00 (10:00),Round of 16,Sun,Neutral,L,1,3,pl Poland,17,11,8,7,2,5,16,31.3,11,8,3,5,6,23,23,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,22:00 (14:00),Quarter-finals,Sat,Neutral,L,1,2,eng England,16,10,7,5,4,5,9,55.6,4,9,1,8,8,24,13,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,22:00 (14:00),Semi-finals,Wed,Neutral,L,0,2,ma Morocco,15,8,6,9,0,10,21,47.6,11,10,5,5,7,22,3,1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (4),3 (2),ar Argentina,23,18,12,8,3,13,30,43.3,17,13,2,11,10,33,25,0,Match Report
,,,,,5-1-1,8,16,,125,82,61,53,11,56,125,44.8,69,85,30,55,54,179,128,2,