Against France,Against France,Against France,Against France,Against France,Against France,Against France,Against France,Against France,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
2022-11-22,22:00 (14:00),Group stage,Tue,Neutral,L,1,4,au Australia,391,473,82.7,6398,2222,194,214,90.7,155,175,88.6,25,55,45.5,1,0.5,0.2,2,18,3,0,22,Match Report
2022-11-26,19:00 (11:00),Group stage,Sat,Neutral,L,1,2,dk Denmark,485,572,84.8,8249,2675,236,262,90.1,192,213,90.1,41,67,61.2,1,0.6,0.3,7,50,6,2,59,Match Report
2022-11-30,18:00 (10:00),Group stage,Wed,Neutral,W,1,0,tn Tunisia,272,368,73.9,5129,2205,105,126,83.3,135,150,90.0,29,71,40.8,1,0.5,0.4,4,33,5,1,38,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,18:00 (10:00),Round of 16,Sun,Neutral,L,1,3,pl Poland,401,490,81.8,6506,2143,209,226,92.5,161,181,89.0,26,61,42.6,0,0.4,0.5,6,26,6,4,39,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,22:00 (14:00),Quarter-finals,Sat,Neutral,L,1,2,eng England,463,543,85.3,8306,2492,205,231,88.7,220,234,94.0,33,66,50.0,0,0.7,1.9,11,27,9,2,45,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,22:00 (14:00),Semi-finals,Wed,Neutral,L,0,2,ma Morocco,519,612,84.8,8400,2811,261,291,89.7,220,246,89.4,31,54,57.4,0,0.3,0.6,6,23,7,1,44,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (4),3 (2),ar Argentina,554,689,80.4,8583,2955,316,353,89.5,188,219,85.8,39,83,47.0,1,1.5,1.5,15,31,8,0,63,Match Report
,,,,,5-1-1,8,16,,3085,3747,82.3,51571,17503,1526,1703,89.6,1271,1418,89.6,224,457,49.0,4,4.4,5.3,51,208,44,10,310,