,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,-additional
Player,#,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,-9999
Olivier Giroud,9,FW,36-053,88,10,12,83.3,162,20,8,8,100.0,1,2,50.0,1,1,100.0,0,0.1,0.3,1,1,1,0,1,16ceb862
Marcus Thuram,26,FW,25-108,2,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,6f8cd6d0
Kylian Mbappé,10,LW,23-337,90,41,57,71.9,569,135,25,30,83.3,14,19,73.7,0,3,0.0,1,0.6,0.5,3,2,2,2,1,42fd9c7f
Ousmane Dembélé,11,RW,25-191,76,25,32,78.1,444,86,11,13,84.6,10,13,76.9,3,4,75.0,1,0.6,0.4,3,2,3,2,2,b19db005
Kingsley Coman,20,RW,26-162,14,12,13,92.3,156,17,7,7,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0,1,1,0,1,042e8a49
Antoine Griezmann,7,AM,31-246,90,64,75,85.3,1223,283,30,34,88.2,25,29,86.2,9,11,81.8,0,1.1,1.3,5,6,5,2,9,df69b544
Adrien Rabiot,14,DM,27-233,90,59,65,90.8,1014,208,32,33,97.0,23,27,85.2,4,4,100.0,1,0.8,0.3,1,8,0,0,2,8794e251
Aurélien Tchouaméni,8,DM,22-299,76,73,76,96.1,1168,286,34,36,94.4,36,36,100.0,2,3,66.7,0,0.0,0.0,0,9,1,0,13,4f255115
Youssouf Fofana,13,DM,23-316,14,18,18,100.0,261,44,10,10,100.0,8,8,100.0,0,0,,0,0.0,0.0,0,4,0,0,1,822d51d7
Lucas Hernández,21,LB,26-281,12,5,10,50.0,66,16,4,7,57.1,1,1,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,1,c3ee18ef
Theo Hernández,22,LB,25-047,78,60,67,89.6,997,256,32,35,91.4,21,24,87.5,6,6,100.0,1,0.6,0.4,4,2,4,2,6,d4c9725f
Dayot Upamecano,18,CB,24-026,90,114,120,95.0,2375,762,32,32,100.0,62,64,96.9,19,22,86.4,0,0.0,0.0,1,16,0,0,12,d248cd8f
Ibrahima Konaté,24,CB,23-181,90,88,100,88.0,1560,586,40,42,95.2,41,46,89.1,7,12,58.3,0,0.0,0.0,0,10,0,0,8,5ed9b537
Benjamin Pavard,2,RB,26-239,88,82,90,91.1,1249,249,47,48,97.9,32,35,91.4,2,6,33.3,0,0.0,0.0,0,10,0,0,4,45a03961
Jules Koundé,5,RB,24-010,2,8,9,88.9,149,29,4,4,100.0,2,3,66.7,2,2,100.0,0,0.0,0.0,0,0,0,0,0,4d1666ff
Hugo Lloris,1,GK,35-331,90,19,24,79.2,438,311,5,5,100.0,10,11,90.9,4,8,50.0,0,0.0,0.0,0,0,0,0,0,8f62b6ee
16 Players,,,,990,678,768,88.3,11831,3288,321,344,93.3,290,323,89.8,60,84,71.4,4,3.9,3.4,18,72,17,8,61,-9999