,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,-additional
Player,#,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,-9999
Olivier Giroud,9,FW,36-053,88,19,0,0,10,9,5,19,0,0,,0,,8,20,1,0,0,0,0,0,13,1,16ceb862
Marcus Thuram,26,FW,25-108,2,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,6f8cd6d0
Kylian Mbappé,10,LW,23-337,90,76,0,0,24,52,18,76,9,3,33.3,5,55.6,47,334,147,7,2,4,5,2,57,25,42fd9c7f
Ousmane Dembélé,11,RW,25-191,76,41,0,3,9,29,4,41,6,3,50.0,1,16.7,28,270,126,4,2,2,0,1,32,6,b19db005
Kingsley Coman,20,RW,26-162,14,17,0,1,4,12,0,17,1,1,100.0,0,0.0,15,87,53,2,0,0,0,0,13,2,042e8a49
Antoine Griezmann,7,AM,31-246,90,86,1,7,45,34,7,86,1,0,0.0,1,100.0,46,215,45,1,0,1,1,0,67,9,df69b544
Adrien Rabiot,14,DM,27-233,90,79,1,7,57,15,4,79,1,0,0.0,1,100.0,49,267,99,2,2,1,0,1,61,2,8794e251
Aurélien Tchouaméni,8,DM,22-299,76,85,2,7,67,11,0,85,0,0,,0,,69,389,177,0,3,0,0,0,70,2,4f255115
Youssouf Fofana,13,DM,23-316,14,19,0,2,13,4,0,19,0,0,,0,,12,46,27,1,0,0,0,0,16,0,822d51d7
Lucas Hernández,21,LB,26-281,12,10,0,1,8,1,0,10,0,0,,0,,6,5,2,0,0,0,0,0,6,2,c3ee18ef
Theo Hernández,22,LB,25-047,78,73,0,5,38,31,3,73,3,1,33.3,0,0.0,47,307,205,7,3,1,1,1,54,7,d4c9725f
Dayot Upamecano,18,CB,24-026,90,129,1,35,95,0,0,129,0,0,,0,,99,536,306,1,0,0,1,0,104,1,d248cd8f
Ibrahima Konaté,24,CB,23-181,90,110,6,32,77,3,2,110,0,0,,0,,83,372,240,0,0,0,3,0,91,0,5ed9b537
Benjamin Pavard,2,RB,26-239,88,94,0,20,63,12,0,94,0,0,,0,,55,208,108,2,2,0,0,0,72,3,45a03961
Jules Koundé,5,RB,24-010,2,9,0,1,2,6,0,9,0,0,,0,,6,34,21,1,0,0,0,0,6,0,4d1666ff
Hugo Lloris,1,GK,35-331,90,25,19,25,0,0,0,25,0,0,,0,,13,48,23,0,0,0,0,0,12,0,8f62b6ee
16 Players,,,,990,872,30,146,512,219,43,872,21,8,38.1,8,38.1,583,3138,1580,28,14,9,11,5,674,60,-9999