For France,For France,For France,For France,For France,For France,For France,For France,For France,For France,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
2022-11-22,22:00 (14:00),Group stage,Tue,Neutral,W,4,1,au Australia,62,872,30,146,512,219,43,872,21,8,38.1,8,38.1,583,3138,1580,28,14,9,11,5,674,60,Match Report
2022-11-26,19:00 (11:00),Group stage,Sat,Neutral,W,2,1,dk Denmark,49,647,65,200,308,146,32,647,20,10,50.0,8,40.0,398,2150,1226,22,9,9,12,11,451,39,Match Report
2022-11-30,18:00 (10:00),Group stage,Wed,Neutral,L,0,1,tn Tunisia,65,808,64,217,392,212,19,808,19,8,42.1,7,36.8,493,2496,1239,19,23,2,23,15,570,47,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,18:00 (10:00),Round of 16,Sun,Neutral,W,3,1,pl Poland,55,685,52,197,286,207,23,685,21,11,52.4,5,23.8,449,2371,1185,24,16,7,11,12,500,44,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,22:00 (14:00),Quarter-finals,Sat,Neutral,W,2,1,eng England,43,499,57,162,207,136,18,499,11,4,36.4,5,45.5,314,1737,854,13,12,4,12,11,319,31,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-14,22:00 (14:00),Semi-finals,Wed,Neutral,W,2,0,ma Morocco,39,508,63,153,290,75,21,508,22,11,50.0,10,45.5,259,2033,1179,27,9,5,10,5,306,27,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-18,18:00 (10:00),Final,Sun,Neutral,D,3 (2),3 (4),ar Argentina,46,735,66,201,400,141,17,733,35,17,48.6,13,37.1,380,2298,1262,24,8,5,18,10,429,38,Match Report
,,,,,5-1-1,16,8,,51.3,4754,397,1276,2395,1136,173,4752,149,69,46.3,56,37.6,2876,16223,8525,157,91,41,97,69,3249,286,