,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,,-additional
Player,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
Aurélien Tchouaméni,MF,22,6.9,532,15,95,372,70,3,532,5,3,60.0,2,40.0,353,1771,773,8,8,0,11,0,397,6,Matches,4f255115
Kylian Mbappé,FW,23,6.6,322,0,8,99,223,60,320,52,25,48.1,23,44.2,232,1885,965,40,23,24,21,10,265,79,Matches,42fd9c7f
Hugo Lloris,GK,35,6.3,202,174,201,1,0,0,202,0,0,,0,,92,531,327,0,0,0,0,0,74,0,Matches,8f62b6ee
Antoine Griezmann,MF,31,6.0,384,11,51,190,147,14,384,10,4,40.0,5,50.0,201,987,389,10,4,4,6,9,250,31,Matches,df69b544
Raphaël Varane,DF,29,5.8,321,33,140,175,7,3,321,1,1,100.0,0,0.0,223,1517,968,8,2,0,0,0,237,0,Matches,9f8e9423
Ousmane Dembélé,FW,25,4.8,244,2,25,80,144,16,244,23,9,39.1,11,47.8,164,1256,664,23,15,4,8,6,180,45,Matches,b19db005
Olivier Giroud,FW,35,4.7,111,5,10,58,43,21,111,0,0,,0,,42,134,53,1,0,0,5,1,81,10,Matches,16ceb862
Theo Hernández,DF,24,5.6,386,13,88,199,100,8,386,5,2,40.0,0,0.0,220,1179,682,18,6,1,6,5,249,33,Matches,d4c9725f
Adrien Rabiot,MF,27,5.4,352,16,64,203,88,19,352,5,2,40.0,2,40.0,220,1202,511,10,7,4,5,7,244,18,Matches,8794e251
Jules Koundé,DF,23,5.3,352,17,124,176,54,2,352,4,3,75.0,0,0.0,171,689,390,7,1,1,3,2,216,3,Matches,4d1666ff
Dayot Upamecano,DF,23,5.3,395,27,159,234,5,2,395,0,0,,0,,281,1485,876,2,0,0,1,1,290,2,Matches,d248cd8f
Ibrahima Konaté,DF,23,3.3,278,25,107,170,5,2,278,0,0,,0,,196,993,557,1,1,0,3,2,207,1,Matches,5ed9b537
Youssouf Fofana,MF,23,2.5,138,5,29,87,28,2,138,2,2,100.0,0,0.0,72,379,249,6,2,0,3,3,94,4,Matches,822d51d7
Randal Kolo Muani,FW,23,2.0,75,1,5,28,43,10,75,10,3,30.0,5,50.0,37,250,105,2,1,2,8,6,48,10,Matches,c0b3669f
Kingsley Coman,FWMF,26,1.9,102,3,15,39,53,2,102,11,6,54.5,1,9.1,68,537,303,7,3,1,6,7,69,18,Matches,042e8a49
Eduardo Camavinga,DF,19,1.6,141,10,42,64,37,1,141,6,1,16.7,2,33.3,78,415,248,3,3,0,3,3,75,4,Matches,7b9c2d84
Axel Disasi,DF,24,1.0,91,4,19,48,25,2,91,2,1,50.0,1,50.0,37,207,58,1,4,0,0,1,50,3,Matches,ad82197c
Steve Mandanda,GK,37,1.0,32,28,32,0,0,0,32,0,0,,0,,13,69,36,0,0,0,0,0,9,0,Matches,1d2d5cc8
Benjamin Pavard,DF,26,1.0,94,0,20,63,12,0,94,0,0,,0,,55,208,108,2,2,0,0,0,72,3,Matches,45a03961
Mattéo Guendouzi,FWMF,23,0.9,37,1,5,22,10,1,37,0,0,,0,,25,76,38,0,3,0,0,1,24,4,Matches,5ea8ef20
Jordan Veretout,MF,29,0.7,43,2,11,25,7,1,43,0,0,,0,,20,52,11,0,0,0,2,1,32,1,Matches,4a56052c
Lucas Hernández,DF,26,0.1,10,0,1,8,1,0,10,0,0,,0,,6,5,2,0,0,0,0,0,6,2,Matches,c3ee18ef
Marcus Thuram,FWMF,24,1.7,74,3,11,35,29,4,74,12,6,50.0,4,33.3,41,276,152,8,5,0,5,4,49,9,Matches,6f8cd6d0
William Saliba,DF,21,0.3,38,2,14,19,5,0,38,1,1,100.0,0,0.0,29,120,60,0,1,0,1,0,31,0,Matches,972aeb2a
Squad Total,,26.3,7.3,4754,397,1276,2395,1136,173,4752,149,69,46.3,56,37.6,2876,16223,8525,157,91,41,97,69,3249,286,,-9999
Opponent Total,,26.8,7.3,4533,387,1317,2301,962,138,4529,111,36,32.4,55,49.5,2921,15876,8074,127,97,23,112,90,3056,306,,-9999