player,tkl,att,lost
Player,Number of dribblers tackled,Number of dribblers challenged,Number of unsuccessful attempts to challenge a dribbling player
Aurélien Tchouaméni,3,7,4
Kylian Mbappé,0,0,0
Hugo Lloris,0,0,0
Antoine Griezmann,3,5,2
Raphaël Varane,0,2,2
Ousmane Dembélé,6,9,3
Olivier Giroud,0,3,3
Theo Hernández,10,15,5
Adrien Rabiot,4,7,3
Jules Koundé,7,12,5
Dayot Upamecano,6,6,0
Ibrahima Konaté,5,5,0
Youssouf Fofana,1,4,3
Randal Kolo Muani,3,3,0
Kingsley Coman,1,2,1
Eduardo Camavinga,4,5,1
Axel Disasi,0,2,2
Steve Mandanda,0,0,0
Benjamin Pavard,0,0,0
Mattéo Guendouzi,0,1,1
Jordan Veretout,1,1,0
Lucas Hernández,1,2,1
Marcus Thuram,0,0,0
William Saliba,0,0,0