player,completed,attempted,comppercent,assists,expasstgoals,expassists,kp
Player,Total Completed Passes,Total Attempted Passes,Total Completed Percentage,Assists,Expected Assisted Goals,Expected Assists,Key Passes
Aurélien Tchouaméni,424,474,89.5,0,1.0,0.4,6
Kylian Mbappé,173,229,75.5,2,1.3,1.3,11
Hugo Lloris,110,182,60.4,0,0.0,0.0,0
Antoine Griezmann,258,329,78.4,3,3.1,3.6,21
Raphaël Varane,256,286,89.5,0,0.0,0.0,0
Ousmane Dembélé,145,192,75.5,2,1.6,1.0,11
Olivier Giroud,48,74,64.9,0,0.1,0.3,2
Theo Hernández,289,339,85.3,2,1.2,1.0,11
Adrien Rabiot,237,284,83.5,1,0.9,0.5,3
Jules Koundé,252,311,81.0,0,0.1,0.1,1
Dayot Upamecano,314,351,89.5,0,0.1,0.1,2
Ibrahima Konaté,215,235,91.5,0,0.4,0.3,2
Youssouf Fofana,96,112,85.7,0,0.2,0.1,1
Randal Kolo Muani,25,43,58.1,0,0.0,0.0,0
Kingsley Coman,56,72,77.8,0,0.1,0.2,1
Eduardo Camavinga,88,101,87.1,0,0.1,0.1,3
Axel Disasi,61,78,78.2,0,0.0,0.0,0
Steve Mandanda,19,31,61.3,0,0.0,0.0,0
Benjamin Pavard,82,90,91.1,0,0.0,0.0,0
Mattéo Guendouzi,27,33,81.8,0,0.0,0.0,0
Jordan Veretout,33,36,91.7,0,0.0,0.0,0
Lucas Hernández,5,10,50.0,0,0.0,0.0,0
Marcus Thuram,27,40,67.5,2,0.3,0.1,4
William Saliba,37,37,100.0,0,0.0,0.0,1