player,passes_completed,passes_attempted
Player,Total Passes Completed,Total Passes Attempted
Aurélien Tchouaméni,424,474
Kylian Mbappé,173,229
Hugo Lloris,110,182
Antoine Griezmann,258,329
Raphaël Varane,256,286
Ousmane Dembélé,145,192
Olivier Giroud,48,74
Theo Hernández,289,339
Adrien Rabiot,237,284
Jules Koundé,252,311
Dayot Upamecano,314,351
Ibrahima Konaté,215,235
Youssouf Fofana,96,112
Randal Kolo Muani,25,43
Kingsley Coman,56,72
Eduardo Camavinga,88,101
Axel Disasi,61,78
Steve Mandanda,19,31
Benjamin Pavard,82,90
Mattéo Guendouzi,27,33
Jordan Veretout,33,36
Lucas Hernández,5,10
Marcus Thuram,27,40
William Saliba,37,37