player,squad,Tackles,Blocks,Interceptions
Player,Squad,Tackles,Blocks,Interceptions
Joško Gvardiol,hr Croatia,9,8,11
Dominik Livaković,hr Croatia,0,0,0
Emiliano Martínez,ar Argentina,0,0,0
Lionel Messi,ar Argentina,5,2,0
Nicolás Otamendi,ar Argentina,10,6,9
Ivan Perišić,hr Croatia,7,9,7
Sofyan Amrabat,ma Morocco,16,2,6
Luka Modrić,hr Croatia,16,4,10
Mateo Kovačić,hr Croatia,24,4,4
Hakim Ziyech,ma Morocco,10,10,10
Achraf Hakimi,ma Morocco,26,7,9
Rodrigo De Paul,ar Argentina,11,8,7
Josip Juranović,hr Croatia,12,5,3
Dejan Lovren,hr Croatia,7,7,6
Kylian Mbappé,fr France,0,0,0
Yassine Bounou,ma Morocco,0,0,0
Enzo Fernández,ar Argentina,22,7,3
Nahuel Molina,ar Argentina,8,7,3
Azzedine Ounahi,ma Morocco,9,5,7
Marcelo Brozović,hr Croatia,13,13,4
Alexis Mac Allister,ar Argentina,9,13,3
Cristian Romero,ar Argentina,5,6,4
Youssef En-Nesyri,ma Morocco,3,5,1
Antoine Griezmann,fr France,14,8,8
Theo Hernández,fr France,16,5,4
Nathan Aké,nl Netherlands,6,3,8
Sofiane Boufal,ma Morocco,11,9,2
Olivier Giroud,fr France,1,1,1